,Net In Global,Net Out Global,Nb process http,Nb process php,Nb connection mysql,Disque read global,Disque write global,Cpu http,Cpu php,Cpu mysql,Cpu global,Ram http,Ram php,Ram mysql,Ram global
2020-09-11 20:59:00,0.1,0.13,195.0,31.0,41.0,0.0,177.93,1.83,16.82,8.69,5.76,1.7,3.0,10.7,22.1
2020-09-11 21:00:00,0.08,0.1,175.0,31.0,54.0,0.0,230.87,0.82,16.69,8.69,5.48,1.9,2.9,10.7,22.28
2020-09-11 21:01:00,0.1,0.13,176.0,31.0,60.0,0.0,341.13,0.11,16.73,8.69,5.42,1.7,3.0,10.7,22.27
2020-09-11 21:02:00,0.08,0.11,210.0,34.0,56.0,0.0,150.61,0.62,18.17,8.69,5.58,1.5,3.0,10.7,22.18
2020-09-11 21:03:00,0.07,0.09,237.0,34.0,56.0,0.0,152.68,0.43,17.91,8.69,4.39,1.9,3.1,10.7,22.26
2020-09-11 21:04:00,0.07,0.09,214.0,35.0,56.0,0.0,147.97,0.04,18.82,8.69,4.12,2.0,3.1,10.7,22.28
2020-09-11 21:05:00,0.07,0.09,235.0,34.0,49.0,0.0,285.36,0.44,17.73,8.69,5.94,1.8,3.0,10.7,22.2
2020-09-11 21:06:00,0.07,0.09,208.0,32.0,47.0,0.0,218.86,1.81,17.59,8.69,5.77,1.9,2.9,10.7,22.17
2020-09-11 21:07:00,0.06,0.08,203.0,34.0,47.0,0.0,181.58,0.05,18.78,8.69,5.37,2.2,3.1,10.7,22.43
2020-09-11 21:08:00,0.08,0.1,219.0,33.0,54.0,0.0,261.58,0.68,17.55,8.69,5.42,1.7,3.0,10.7,22.23
2020-09-11 21:09:00,0.09,0.12,213.0,35.0,50.0,0.0,218.41,0.09,18.95,8.69,6.58,1.9,3.1,10.7,22.2
2020-09-11 21:10:00,0.08,0.1,184.0,34.0,45.0,0.0,184.8,0.7,18.75,8.69,6.58,1.8,3.1,10.7,22.36
2020-09-11 21:11:00,0.1,0.13,177.0,32.0,47.0,0.0,253.78,0.75,17.06,8.69,4.95,1.8,3.0,10.7,22.33
2020-09-11 21:12:00,0.07,0.1,195.0,32.0,52.0,0.0,162.53,0.16,17.01,8.69,4.15,1.7,3.1,10.7,22.2
2020-09-11 21:13:00,0.09,0.1,185.0,34.0,43.0,0.0,171.75,0.17,17.92,8.69,5.54,1.7,3.0,10.7,22.24
2020-09-11 21:14:00,0.07,0.1,212.0,33.0,60.0,0.0,170.03,0.44,17.68,8.69,5.53,1.6,2.9,10.7,22.24
